broker,title,url,province,asking_price,collections,ebitda_or_sde,equipped_ops,sqft,scraped_at,appraised_value
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/1438,ON,,,2880000.0,6.0,1942.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/1546,ON,1897130.0,,1357087.0,,2079.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/1477,ON,,,1010000.0,3.0,2700.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/1459,ON,869905.0,,690620.0,,1450.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/1507,ON,,,1341486.0,5.0,2045.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/1468,ON,1838907.0,,,4.0,1624.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/1441,ON,2174861.0,,,4.0,2098.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/d1426,ON,1219430.0,,807018.0,,1841.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/d1390,ON,300000.0,,,4.0,1050.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/medhatdental,ON,1200000.0,,,4.0,2000.0,2025-10-26T07:38:25.158325+00:00,
MBC,,https://www.mbcbrokerage.ca/all-listings/dental/d1371,ON,1250000.0,,,5.0,1225.0,2025-10-26T07:38:25.158325+00:00,
